Talktime Plans
Amount,Talktime,Validity,Description

100,86,Unlimited,Talktime
150,140,Unlimited,Full Talktime
200,200,Unlimited,full Talktime
210,210,Unlimited,Full Talktime
222,222,28 Days,Full Talktime + All Local + STD Tata Docomo to Tata Docomo and Tata Docomo to other networks calls @ 1.5p/ 2sec
250,250,Unlimited,Full Talktime
300,320,Unlimited,More than full Talktime
333,333,30 Days,Full Talktime + All Local & STD mobile calls @ 1.2p/ 2secs.
450,450,Unlimited,Full Talktime
500,525,Unlimited,More than full Talktime
510,510,Unlimited,full Talktime
750,750,Unlimited,Full Talktime
1000,1100,Unlimited,More than full Talktime
1010,1010,Unlimited,Full Talktime
